,feature,category,num_samples,precision,recall,fbeta
69,native-country,El-Salvador,20,1.0,1.0,1.0
70,native-country,Taiwan,12,0.8333333333333334,0.8333333333333334,0.8333333333333334
71,native-country,England,20,0.6,1.0,0.7499999999999999
72,native-country,Puerto-Rico,27,0.6,0.75,0.6666666666666665
73,native-country,Canada,27,0.5555555555555556,0.7142857142857143,0.6250000000000001
74,native-country,Iran,10,0.875,1.0,0.9333333333333333
75,native-country,Peru,10,0.3333333333333333,1.0,0.5
76,native-country,Italy,14,1.0,1.0,1.0
77,native-country,Columbia,10,0.0,1.0,0.0
78,native-country,Portugal,7,1.0,1.0,1.0
79,native-country,Ecuador,5,1.0,1.0,1.0
80,native-country,Greece,8,0.5,1.0,0.6666666666666666
81,native-country,Cuba,15,0.4,1.0,0.5714285714285715
82,native-country,Scotland,4,1.0,1.0,1.0
83,native-country,Hungary,4,1.0,1.0,1.0
84,native-country,Poland,10,0.3333333333333333,0.5,0.4
85,native-country,Yugoslavia,3,0.5,0.5,0.5
86,native-country,Nicaragua,6,0.0,1.0,0.0
87,native-country,Trinadad&Tobago,5,0.5,1.0,0.6666666666666666
88,native-country,China,12,0.6,1.0,0.7499999999999999
89,native-country,Thailand,5,1.0,1.0,1.0
90,native-country,Guatemala,8,1.0,1.0,1.0
91,native-country,Haiti,8,1.0,1.0,1.0
92,native-country,Ireland,5,1.0,1.0,1.0
93,native-country,Outlying-US(Guam-USVI-etc),4,1.0,1.0,1.0
94,native-country,Cambodia,3,0.5,1.0,0.6666666666666666
